Image_Name,Predicted_Category
1.png,Hyena
10.png,Zebra
100.png,Hyena
1000.png,Hyena
101.png,Zebra
102.png,Tiger
103.png,Whale Shark
104.png,Zebra
105.png,Giraffe
106.png,Leopard
107.png,Tapir Calf
108.png,Tiger
109.png,Hyena
11.png,Hyena
110.png,Leopard
111.png,Hyena
112.png,Hyena
113.png,Leopard
114.png,Tapir Calf
115.png,Zebra
116.png,Hyena
117.png,Tiger
118.png,Hyena
119.png,Jaguar
12.png,Hyena
120.png,Tiger
121.png,Tapir Calf
122.png,Giraffe
123.png,Tiger
124.png,Giraffe
125.png,Leopard
126.png,Tapir Calf
127.png,Hyena
128.png,Deer
129.png,Tiger
13.png,Hyena
130.png,Cheetah
131.png,Giraffe
132.png,Giraffe
133.png,Tiger
134.png,Zebra
135.png,Giraffe
136.png,Hyena
137.png,Hyena
138.png,Tapir Calf
139.png,Giraffe
14.png,Giraffe
140.png,Hyena
141.png,Hyena
142.png,Hyena
143.png,Hyena
144.png,Leopard
145.png,Hyena
146.png,Hyena
147.png,Leopard
148.png,Cheetah
149.png,Jaguar
15.png,Hyena
150.png,Deer
151.png,Jaguar
152.png,Hyena
153.png,Leopard
154.png,Hyena
155.png,Hyena
156.png,Tiger
157.png,Hyena
158.png,Tiger
159.png,Tiger
16.png,Hyena
160.png,Zebra
161.png,Hyena
162.png,Leopard
163.png,Hyena
164.png,Hyena
165.png,Zebra
166.png,Leopard
167.png,Tapir Calf
168.png,Tiger
169.png,Leopard
17.png,Hyena
170.png,Giraffe
171.png,Zebra
172.png,Giraffe
173.png,Tapir Calf
174.png,Giraffe
175.png,Hyena
176.png,Leopard
177.png,Tapir Calf
178.png,Jaguar
179.png,Zebra
18.png,Giraffe
180.png,Hyena
181.png,Deer
182.png,Giraffe
183.png,Tapir Calf
184.png,Tapir Calf
185.png,Deer
186.png,Hyena
187.png,Giraffe
188.png,Tiger
189.png,Leopard
19.png,Tapir Calf
190.png,Hyena
191.png,Zebra
192.png,Tiger
193.png,Giraffe
194.png,Hyena
195.png,Zebra
196.png,Tapir Calf
197.png,Tiger
198.png,Giraffe
199.png,Hyena
2.png,Tiger
20.png,Tiger
200.png,Giraffe
201.png,Giraffe
202.png,Giraffe
203.png,Hyena
204.png,Hyena
205.png,Hyena
206.png,Tapir Calf
207.png,Hyena
208.png,Leopard
209.png,Jaguar
21.png,Giraffe
210.png,Hyena
211.png,Tapir Calf
212.png,Deer
213.png,Giraffe
214.png,Jaguar
215.png,Tiger
216.png,Leopard
217.png,Tapir Calf
218.png,Tapir Calf
219.png,Jaguar
22.png,Tapir Calf
220.png,Jaguar
221.png,Giraffe
222.png,Giraffe
223.png,Cheetah
224.png,Tapir Calf
225.png,Jaguar
226.png,Tapir Calf
227.png,Tapir Calf
228.png,Cheetah
229.png,Hyena
23.png,Jaguar
230.png,Zebra
231.png,Hyena
232.png,Tiger
233.png,Hyena
234.png,Jaguar
235.png,Leopard
236.png,Tapir Calf
237.png,Hyena
238.png,Deer
239.png,Tapir Calf
24.png,Tapir Calf
240.png,Giraffe
241.png,Giraffe
242.png,Deer
243.png,Tiger
244.png,Hyena
245.png,Zebra
246.png,Deer
247.png,Jaguar
248.png,Hyena
249.png,Giraffe
25.png,Tapir Calf
250.png,Tapir Calf
251.png,Hyena
252.png,Giraffe
253.png,Hyena
254.png,Hyena
255.png,Deer
256.png,Zebra
257.png,Tapir Calf
258.png,Hyena
259.png,Tapir Calf
26.png,Giraffe
260.png,Tiger
261.png,Giraffe
262.png,Giraffe
263.png,Hyena
264.png,Giraffe
265.png,Hyena
266.png,Hyena
267.png,Leopard
268.png,Jaguar
269.png,Hyena
27.png,Tapir Calf
270.png,Hyena
271.png,Hyena
272.png,Giraffe
273.png,Hyena
274.png,Jaguar
275.png,Hyena
276.png,Hyena
277.png,Hyena
278.png,Giraffe
279.png,Hyena
28.png,Giraffe
280.png,Hyena
281.png,Zebra
282.png,Giraffe
283.png,Tapir Calf
284.png,Jaguar
285.png,Giraffe
286.png,Giraffe
287.png,Hyena
288.png,Zebra
289.png,Hyena
29.png,Giraffe
290.png,Hyena
291.png,Jaguar
292.png,Jaguar
293.png,Zebra
294.png,Giraffe
295.png,Leopard
296.png,Hyena
297.png,Giraffe
298.png,Leopard
299.png,Tiger
3.png,Hyena
30.png,Cheetah
300.png,Cheetah
301.png,Hyena
302.png,Tiger
303.png,Giraffe
304.png,Deer
305.png,Jaguar
306.png,Hyena
307.png,Tapir Calf
308.png,Tiger
309.png,Giraffe
31.png,Leopard
310.png,Hyena
311.png,Tapir Calf
312.png,Hyena
313.png,Jaguar
314.png,Hyena
315.png,Deer
316.png,Deer
317.png,Deer
318.png,Hyena
319.png,Giraffe
32.png,Giraffe
320.png,Giraffe
321.png,Hyena
322.png,Giraffe
323.png,Tapir Calf
324.png,Leopard
325.png,Giraffe
326.png,Tapir Calf
327.png,Hyena
328.png,Tiger
329.png,Giraffe
33.png,Hyena
330.png,Hyena
331.png,Hyena
332.png,Hyena
333.png,Hyena
334.png,Zebra
335.png,Giraffe
336.png,Giraffe
337.png,Tiger
338.png,Jaguar
339.png,Giraffe
34.png,Deer
340.png,Zebra
341.png,Whale Shark
342.png,Giraffe
343.png,Hyena
344.png,Tiger
345.png,Jaguar
346.png,Tiger
347.png,Tiger
348.png,Hyena
349.png,Giraffe
35.png,Tapir Calf
350.png,Hyena
351.png,Hyena
352.png,Hyena
353.png,Jaguar
354.png,Zebra
355.png,Cheetah
356.png,Hyena
357.png,Hyena
358.png,Giraffe
359.png,Hyena
36.png,Jaguar
360.png,Tapir Calf
361.png,Jaguar
362.png,Jaguar
